TimeGenerated [UTC],Account,AccountType,Computer,EventSourceName,Channel,EventID,Activity,IpAddress,LogonType,LogonTypeName,TargetAccount,TargetUserName,TimeCollected [UTC]
"11/16/2024, 11:56:52.454 PM",\VMADMIN,User,MyLowCostVM,Microsoft-Windows-Security-Auditing,Security,4625,4625 - An account failed to log on.,94.102.49.171,3,3 - Network,\VMADMIN,VMADMIN,"11/16/2024, 11:57:17.806 PM"
"11/16/2024, 11:57:09.937 PM",\DELL,User,MyLowCostVM,Microsoft-Windows-Security-Auditing,Security,4625,4625 - An account failed to log on.,218.90.122.42,3,3 - Network,\DELL,DELL,"11/16/2024, 11:57:37.814 PM"
"11/16/2024, 11:57:17.894 PM",\ADMINISTRATOR,User,MyLowCostVM,Microsoft-Windows-Security-Auditing,Security,4625,4625 - An account failed to log on.,79.124.56.98,3,3 - Network,\ADMINISTRATOR,ADMINISTRATOR,"11/16/2024, 11:57:37.814 PM"
"11/16/2024, 11:57:20.790 PM",\ADMINISTRATOR,User,MyLowCostVM,Microsoft-Windows-Security-Auditing,Security,4625,4625 - An account failed to log on.,36.134.25.206,3,3 - Network,\ADMINISTRATOR,ADMINISTRATOR,"11/16/2024, 11:57:57.796 PM"
"11/16/2024, 11:57:28.378 PM",\ADMIN,User,MyLowCostVM,Microsoft-Windows-Security-Auditing,Security,4625,4625 - An account failed to log on.,94.76.207.192,3,3 - Network,\ADMIN,ADMIN,"11/16/2024, 11:57:57.796 PM"
"11/16/2024, 11:57:29.768 PM",\ADMIN,User,MyLowCostVM,Microsoft-Windows-Security-Auditing,Security,4625,4625 - An account failed to log on.,218.24.151.212,3,3 - Network,\ADMIN,ADMIN,"11/16/2024, 11:57:57.796 PM"
"11/16/2024, 11:57:55.639 PM",\ADMINISTRATOR,User,MyLowCostVM,Microsoft-Windows-Security-Auditing,Security,4625,4625 - An account failed to log on.,36.134.25.206,3,3 - Network,\ADMINISTRATOR,ADMINISTRATOR,"11/16/2024, 11:58:17.805 PM"
"11/16/2024, 11:58:03.625 PM",\USER,User,MyLowCostVM,Microsoft-Windows-Security-Auditing,Security,4625,4625 - An account failed to log on.,218.90.122.42,3,3 - Network,\USER,USER,"11/16/2024, 11:58:37.815 PM"
"11/16/2024, 11:58:31.844 PM",\USER,User,MyLowCostVM,Microsoft-Windows-Security-Auditing,Security,4625,4625 - An account failed to log on.,94.76.207.192,3,3 - Network,\USER,USER,"11/16/2024, 11:58:57.805 PM"
"11/16/2024, 11:58:33.074 PM",\ADMINISTRATOR,User,MyLowCostVM,Microsoft-Windows-Security-Auditing,Security,4625,4625 - An account failed to log on.,218.24.151.212,3,3 - Network,\ADMINISTRATOR,ADMINISTRATOR,"11/16/2024, 11:58:57.805 PM"
